Date,Price
2023-05-16,145400.0
2023-05-17,143500.0
2023-05-18,141700.0
2023-05-19,142000.0
2023-05-22,142600.0
2023-05-23,142400.0
2023-05-24,142900.0
2023-05-25,142200.0
2023-05-26,143000.0
2023-05-30,142300.0
2023-05-31,140000.0
2023-06-01,138500.0
2023-06-02,142000.0
2023-06-05,143100.0
2023-06-07,143000.0
2023-06-08,140900.0
2023-06-09,139500.0
2023-06-12,139700.0
2023-06-13,140100.0
2023-06-14,137700.0
2023-06-15,137700.0
2023-06-16,137000.0
2023-06-19,135800.0
2023-06-20,134700.0
2023-06-21,132000.0
2023-06-22,131900.0
2023-06-23,129800.0
2023-06-26,131800.0
2023-06-27,130300.0
2023-06-28,128300.0
2023-06-29,126700.0
2023-06-30,126800.0
2023-07-03,126600.0
2023-07-04,125000.0
2023-07-05,123200.0
2023-07-06,122700.0
2023-07-07,121700.0
2023-07-10,121400.0
2023-07-11,126000.0
2023-07-12,123000.0
2023-07-13,124400.0
2023-07-14,127800.0
2023-07-17,125100.0
2023-07-18,126400.0
2023-07-19,124400.0
2023-07-20,124700.0
2023-07-21,123900.0
2023-07-24,123700.0
2023-07-25,121400.0
2023-07-26,118800.0
2023-07-27,122500.0
2023-07-28,121000.0
2023-07-31,122400.0
2023-08-01,123800.0
2023-08-02,122800.0
2023-08-03,132000.0
2023-08-04,132000.0
2023-08-07,132700.0
2023-08-08,133500.0
2023-08-09,132000.0
2023-08-10,136000.0
2023-08-11,136000.0
2023-08-14,136800.0
2023-08-16,135000.0
2023-08-17,133500.0
2023-08-18,134300.0
2023-08-21,135000.0
2023-08-22,135800.0
2023-08-23,133700.0
2023-08-24,134700.0
2023-08-25,134921.140625
