Date,Price
2023-05-22,412000.0
2023-05-23,414000.0
2023-05-24,430000.0
2023-05-25,431500.0
2023-05-26,430000.0
2023-05-30,430000.0
2023-05-31,439000.0
2023-06-01,450000.0
2023-06-02,447500.0
2023-06-05,444500.0
2023-06-07,446000.0
2023-06-08,452000.0
2023-06-09,446500.0
2023-06-12,441000.0
2023-06-13,438500.0
2023-06-14,440500.0
2023-06-15,437500.0
2023-06-16,438000.0
2023-06-19,411500.0
2023-06-20,409000.0
2023-06-21,418500.0
2023-06-22,415000.0
2023-06-23,404500.0
2023-06-26,404000.0
2023-06-27,420000.0
2023-06-28,400000.0
2023-06-29,390000.0
2023-06-30,398000.0
2023-07-03,407000.0
2023-07-04,396500.0
2023-07-05,405500.0
2023-07-06,405500.0
2023-07-07,410000.0
2023-07-10,404000.0
2023-07-11,399000.0
2023-07-12,404000.0
2023-07-13,400500.0
2023-07-14,404500.0
2023-07-17,393000.0
2023-07-18,396500.0
2023-07-19,413500.0
2023-07-20,401000.0
2023-07-21,405500.0
2023-07-24,401000.0
2023-07-25,401000.0
2023-07-26,389500.0
2023-07-27,400500.0
2023-07-28,397500.0
2023-07-31,397000.0
2023-08-01,402000.0
2023-08-02,398000.0
2023-08-03,396500.0
2023-08-04,403000.0
2023-08-07,426500.0
2023-08-08,420000.0
2023-08-09,411500.0
2023-08-10,413500.0
2023-08-11,459000.0
2023-08-14,473500.0
2023-08-16,475500.0
2023-08-17,461500.0
2023-08-18,470000.0
2023-08-21,465000.0
2023-08-22,464000.0
2023-08-23,460000.0
2023-08-24,460000.0
2023-08-25,464000.0
2023-08-28,460500.0
2023-08-29,460500.0
2023-08-30,458674.75
